"ITEM CODE";"PARTICULARS";"UOM";"CASE SIZE";"SALE UOM BREAKUP";"SALE UOM (ml/no)";"COST PRICE BTL";"COST PRICE SML/GLS";"COST PRICE ML";"Big Bang Bandra";"BKC";"Lower Parel";"Juhu";"Colaba";"Andheri";"Malad";"Dadar";"THANE";"Chembur";"TOTAL STOCK";"TOTAL CASES";"TOTAL AMOUNT"
"WINE: DOMESTIC";"HAKUSHIKA WINE  ";720;12;5;150;2000.0;400.0;2.7777777777777777;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"FRATELLI RED";750;12;5;150;272.32;54.464;0.3630933333333333;253.76;0.0;280.964;226.84;203.1;133.37333333333333;223;136.66666666666666;18.88;63.8;1540.024;128.33533333333332;419379.33567999996
"WINE: DOMESTIC";"FRATELLI ROSE";750;12;5;150;227.685;45.537;0.30358;54.4;60.2;74.4;58.2;58.4;72.0;57;45.6;0.2;41.2;522.0;43.5;118851.57
"WINE: DOMESTIC";"FRATELLI WHITE";750;12;5;150;247.77999999999997;49.556;0.3303733333333333;209.28;0.0;672.6186666666666;104.8;33.0;127.4;187;207.46666666666667;56.44;307.46666666666664;1905.952;158.82933333333332;472256.7865599999
"WINE: DOMESTIC";"SANGRIA WHITE";330;12;2;150;550.0;275.0;1.6666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"SULA BRUT";750;12;5;150;550.0;110.0;0.7333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;2.0;2.0;0.16666666666666666;1100.0
"WINE: DOMESTIC";"SULA BRUT TROPICAL";750;12;5;150;352.62;70.524;0.47016;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"SULA ROSE";750;12;5;150;352.62;70.524;0.47016;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WINE: DOMESTIC";"SULA SHIRAZ";750;12;5;150;334.5;66.9;0.446;0.0;0.0;0.0;0.0;0.0;10.0;0;0.0;0.0;0.0;10.0;0.8333333333333334;3345.0
"WINE: DOMESTIC";"FRATELLI SPARKLING BRUT";750;12;5;150;816.96;163.392;1.08928;0.0;0.0;1.0;0.4;0.0;0.0;0;0.0;0.0;0.0;1.4;0.11666666666666665;1143.744
"WINE: DOMESTIC";"FRATELLI ROSE BRUT";750;12;5;150;871.43;174.286;1.1619066666666666;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;1.0;0.0;1.0;0.08333333333333333;871.43
"WINE: DOMESTIC";"A.G. FOURTY SEVEN";750;12;5;150;1050.0;210.0;1.4;0.0;0.0;0.0;0.6;0.0;0.0;0;0.0;0.0;0.0;0.6;0.049999999999999996;630.0
"WINE: DOMESTIC";"BASSO RED";750;12;5;150;850.0;170.0;1.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
